"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-411-2018-830-1 to 36604","5/7/2019 7:56:19 PM","2018","6/1/2018","12/31/2018","36604","Steuben County DPW, Solid Waste Division","9/25/2019 5:46:27 PM","","On Behalf of Third Party","anonymous","ACR411","Steuben County Bath Landfill GHG Offset Project","Landfill Gas Capture & Combustion","Landfill Gas Destruction and Beneficial Use Projects","Version 1.0","The project is located in a rural area on 5642 Turnpike Road in the Town of Bath, New York in Steuben County.","NEW YORK","US","No","No","No","","","Yes","","03: Good Health and Well-Being;07: Affordable and Clean Energy;08: Decent Work and Economic Growth;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","www.steubencony.org","View",
"ACR-US-114-2012-319-39937 to 40264","10/28/2013 7:47:53 AM","2012","1/1/2012","12/31/2012","328","3Degrees Group, Inc.","9/24/2019 5:21:50 PM","","On Behalf of Third Party","Transaction Reference 12066","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-368-2018-804-1668 to 2667","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","1000","Anew Carbon Development, LLC","9/12/2019 12:57:41 PM","","On Behalf of Third Party","On behalf of Cool Effect, CEBRA0319","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2018-813-1 to 229","4/3/2019 9:54:19 PM","2018","6/30/2017","6/29/2018","229","Pachama Inc.","9/12/2019 1:41:45 AM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-368-2018-804-1 to 229","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","229","Pachama Inc.","9/12/2019 1:41:20 AM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-376-2018-864-1 to 230","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","230","Pachama Inc.","9/12/2019 1:40:00 AM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-119-2011-175-213623402 to 213623601","11/16/2011","2011","1/1/2011","4/11/2011","200","ClimeCo LLC","9/11/2019 8:28:08 PM","","On Behalf of Third Party","98.9 WCLZ","ACR119","North Country LFG","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Bethlehem","NEW HAMPSHIRE","US","No","No","No","","","","","","","View",
"ACR-US-212-2014-405-67717 to 80955","2/3/2016 8:55:34 PM","2014","1/1/2014","7/27/2014","13239","3Degrees Group, Inc.","9/6/2019 6:11:46 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2014-405-16956 to 17955","2/3/2016 8:55:34 PM","2014","1/1/2014","7/27/2014","1000","3Degrees Group, Inc.","9/6/2019 6:11:03 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2014-405-81956 to 82837","2/3/2016 8:55:34 PM","2014","1/1/2014","7/27/2014","882","3Degrees Group, Inc.","9/6/2019 6:10:25 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2013-407-60958 to 62525","2/3/2016 8:55:34 PM","2013","7/28/2013","12/31/2013","1568","3Degrees Group, Inc.","9/6/2019 6:09:41 PM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-161-2006-117-200767632 to 200791143","8/30/2007","2006","1/1/2006","12/31/2006","23512","Anew Environmental, LLC","9/5/2019 9:45:38 PM","","On Behalf of Third Party","Behalf of Univ. of California, Los Angeles UCLA","ACR161","Upper Rock LFG to Energy","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","East Moline","ILLINOIS","US","No","No","No","","","","","","","View",
"ACR-US-112-2006-111-200443506 to 200476927","8/30/2007","2006","1/1/2006","12/31/2006","33422","Anew Environmental, LLC","9/5/2019 4:22:54 PM","","On Behalf of Third Party","Retirement on behalf of Veolia Energy PA","ACR112","Dolton LFG to Energy","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Dolton","ILLINOIS","US","No","No","No","","","","","","","View",
"ACR-US-106-2006-107-200255454 to 200291941","8/30/2007","2006","1/1/2006","12/31/2006","36488","Anew Environmental, LLC","9/5/2019 12:43:34 PM","","On Behalf of Third Party","Behalf of Univ. of California, Los Angeles UCLA","ACR106","Brickyard LFG to Energy","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Danville","ILLINOIS","US","No","No","No","","","","","","","View",
"ACR-US-126-2012-312-123642 to 131498","1/24/2013 5:38:38 AM","2012","1/1/2012","6/30/2012","7857","Climate Impact Partners, LLC","8/30/2019 7:40:42 PM","","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-114-2012-319-110510 to 112074","10/28/2013 7:47:53 AM","2012","1/1/2012","12/31/2012","1565","Climate Impact Partners, LLC","8/30/2019 7:39:30 PM","","On Behalf of Third Party","Retirement on behalf of clients for Q1 and Q2 2019","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-424-2017-878-1 to 21500","8/29/2019 9:40:10 PM","2017","10/1/2017","7/1/2018","21500","The Nature Conservancy","8/30/2019 5:54:03 PM","","On Behalf of Third Party","Retire on behalf of BlackRock, Inc. to offset FY 2017 GHG emissions","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-126-2015-681-261429 to 261558","10/4/2017 11:04:34 PM","2015","1/1/2015","12/31/2015","130","Climate Impact Partners, LLC","8/30/2019 4:54:45 PM","","On Behalf of Third Party","Customer ID 00073039","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-126-2015-681-439731 to 462987","10/4/2017 11:04:34 PM","2015","1/1/2015","12/31/2015","23257","Agendi Inc.","8/29/2019 9:25:19 AM","","On Behalf of Third Party","ID number 1086 (Feb 4 2019)","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-114-2015-646-339643 to 404642","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","65000","Climate Impact Partners, LLC","8/26/2019 4:19:36 PM","","On Behalf of Third Party","Customer ID 00072251","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2012-327-89377 to 96876","4/17/2014 9:47:35 PM","2012","1/1/2012","12/31/2012","7500","Climate Impact Partners, LLC","8/26/2019 4:14:03 PM","","On Behalf of Third Party","Customer ID 00070198","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2012-327-64049 to 69619","4/17/2014 9:47:35 PM","2012","1/1/2012","12/31/2012","5571","Climate Impact Partners, LLC","8/26/2019 4:06:58 PM","","On Behalf of Third Party","Customer ID 00070198","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-126-2012-312-103838 to 123641","1/24/2013 5:38:38 AM","2012","1/1/2012","6/30/2012","19804","Climate Impact Partners, LLC","8/26/2019 4:00:54 PM","","On Behalf of Third Party","Customer ID 00072241","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-114-2015-646-330367 to 339642","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","9276","Climate Impact Partners, LLC","8/23/2019 10:05:20 PM","","On Behalf of Third Party","Customer ID 00072241","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2012-319-107805 to 110509","10/28/2013 7:47:53 AM","2012","1/1/2012","12/31/2012","2705","Climate Impact Partners, LLC","8/23/2019 9:59:13 PM","","On Behalf of Third Party","Customer ID 00072241","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-398-2019-820-34 to 26390","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","26357","Anew Carbon Development, LLC","8/12/2019 4:21:05 PM","","On Behalf of Third Party","Retired on behalf of JPMorgan Chase & Co., 2018","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2019-820-1 to 33","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","33","Anew Carbon Development, LLC","8/12/2019 4:21:04 PM","","On Behalf of Third Party","Retired on behalf of Zooterra","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-5352 to 5485","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","134","3Degrees Group, Inc.","8/8/2019 7:38:48 PM","","Environmental Benefit","Transaction Reference 12693","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-56422 to 62791","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","6370","3Degrees Group, Inc.","8/8/2019 7:37:51 PM","","Environmental Benefit","Transaction Reference 12692","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
